review_cost,wrong_approval_cost,threshold,policy,n_claims,auto_approved,reviewed,wrong_approvals,auto_rate,wrong_auto_rate,wrong_rate_low,wrong_rate_high,wrong_per_1000,gross_review_savings,automation_cost,wrong_approval_loss,net_cost,net_savings,handling_hours,mean_turnaround_hours
8.0,100.0,0.8,Manual,6627,0,6627,0,0.0,,,,0.0,0.0,0.0,0.0,53016.0,0.0,1325.4,24.2
8.0,100.0,0.8,Checks,6627,5858,769,159,0.8839595593783008,0.02714236940935473,0.023280788856429507,0.03162373125206336,23.99275690357628,46864.0,2050.2999999999997,22781.34,30983.639999999992,22032.360000000008,178.20833333333334,2.811861827875861
8.0,100.0,0.8,Checks + score,6627,5795,832,146,0.8744529953221669,0.025194132873166523,0.02146282204151792,0.029554539770882675,22.031084955485138,46360.0,2028.2499999999998,20698.45,29382.699999999997,23633.300000000003,190.54583333333332,3.041881067350736
8.0,100.0,0.805,Manual,6627,0,6627,0,0.0,,,,0.0,0.0,0.0,0.0,53016.0,0.0,1325.4,24.2
8.0,100.0,0.805,Checks,6627,5858,769,159,0.8839595593783008,0.02714236940935473,0.023280788856429507,0.03162373125206336,23.99275690357628,46864.0,2050.2999999999997,22781.34,30983.639999999992,22032.360000000008,178.20833333333334,2.811861827875861
8.0,100.0,0.805,Checks + score,6627,5792,835,146,0.8740003017956843,0.02520718232044199,0.021473958379143225,0.02956981065691877,22.031084955485138,46336.0,2027.1999999999998,20698.45,29405.649999999994,23610.350000000006,191.13333333333333,3.0528343644685885
8.0,100.0,0.81,Manual,6627,0,6627,0,0.0,,,,0.0,0.0,0.0,0.0,53016.0,0.0,1325.4,24.2
8.0,100.0,0.81,Checks,6627,5858,769,159,0.8839595593783008,0.02714236940935473,0.023280788856429507,0.03162373125206336,23.99275690357628,46864.0,2050.2999999999997,22781.34,30983.639999999992,22032.360000000008,178.20833333333334,2.811861827875861
8.0,100.0,0.81,Checks + score,6627,5786,841,145,0.8730949147427192,0.02506049083995852,0.021337001341170954,0.02941423164592838,21.88018711332428,46288.0,2025.1,20588.440000000002,29341.539999999994,23674.460000000006,192.30833333333334,3.074740958704291
8.0,100.0,0.8150000000000001,Manual,6627,0,6627,0,0.0,,,,0.0,0.0,0.0,0.0,53016.0,0.0,1325.4,24.2
8.0,100.0,0.8150000000000001,Checks,6627,5858,769,159,0.8839595593783008,0.02714236940935473,0.023280788856429507,0.03162373125206336,23.99275690357628,46864.0,2050.2999999999997,22781.34,30983.639999999992,22032.360000000008,178.20833333333334,2.811861827875861
8.0,100.0,0.8150000000000001,Checks + score,6627,5777,850,145,0.8717368341632714,0.025099532629392417,0.02137030065288654,0.02945994524072175,21.88018711332428,46216.0,2021.9499999999998,20588.440000000002,29410.39,23605.61,194.07083333333333,3.1076008500578443
8.0,100.0,0.8200000000000001,Manual,6627,0,6627,0,0.0,,,,0.0,0.0,0.0,0.0,53016.0,0.0,1325.4,24.2
8.0,100.0,0.8200000000000001,Checks,6627,5858,769,159,0.8839595593783008,0.02714236940935473,0.023280788856429507,0.03162373125206336,23.99275690357628,46864.0,2050.2999999999997,22781.34,30983.639999999992,22032.360000000008,178.20833333333334,2.811861827875861
8.0,100.0,0.8200000000000001,Checks + score,6627,5773,854,144,0.871133242794628,0.02494370344708124,0.021225559684601276,0.02929367213923824,21.729289271163424,46184.0,2020.55,20452.5,29305.049999999996,23710.950000000004,194.85416666666666,3.1222052462149787
8.0,100.0,0.8250000000000001,Manual,6627,0,6627,0,0.0,,,,0.0,0.0,0.0,0.0,53016.0,0.0,1325.4,24.2
8.0,100.0,0.8250000000000001,Checks,6627,5858,769,159,0.8839595593783008,0.02714236940935473,0.023280788856429507,0.03162373125206336,23.99275690357628,46864.0,2050.2999999999997,22781.34,30983.639999999992,22032.360000000008,178.20833333333334,2.811861827875861
