month,policy,n_claims,auto_approved,reviewed,wrong_approvals,auto_rate,wrong_auto_rate,wrong_rate_low,wrong_rate_high,wrong_per_1000,gross_review_savings,automation_cost,wrong_approval_loss,net_cost,net_savings,handling_hours,mean_turnaround_hours
2026-02,Manual,1218,0,1218,0,0.0,,,,0.0,0.0,0.0,0.0,21924.0,0.0,243.6,24.2
2026-03,Manual,1358,0,1358,0,0.0,,,,0.0,0.0,0.0,0.0,24444.0,0.0,271.6,24.2
2026-04,Manual,1326,0,1326,0,0.0,,,,0.0,0.0,0.0,0.0,23868.0,0.0,265.2,24.2
2026-05,Manual,1327,0,1327,0,0.0,,,,0.0,0.0,0.0,0.0,23886.0,0.0,265.4,24.2
2026-06,Manual,1398,0,1398,0,0.0,,,,0.0,0.0,0.0,0.0,25164.0,0.0,279.6,24.2
2026-02,Checks,1218,1080,138,28,0.8866995073891626,0.025925925925925925,0.01799720566843779,0.03721529032728704,22.988505747126435,19440.0,378.0,8360.15,11222.150000000005,10701.849999999995,32.1,2.745566502463054
2026-03,Checks,1358,1191,167,30,0.8770250368188512,0.02518891687657431,0.017700144409404095,0.03573087104904664,22.091310751104565,21438.0,416.84999999999997,8797.96,12220.810000000003,12223.189999999997,38.3625,2.979648379970545
2026-04,Checks,1326,1163,163,28,0.8770739064856712,0.02407566638005159,0.01670884004261375,0.03457627012143937,21.116138763197586,20934.0,407.04999999999995,7961.969999999999,11303.020000000004,12564.979999999996,37.44583333333333,2.978465937657114
2026-05,Checks,1327,1187,140,34,0.8944988696307461,0.02864363942712721,0.020568983065760757,0.039759443485679835,25.62170308967596,21366.0,415.45,10127.68,13063.130000000005,10822.869999999995,32.94583333333333,2.556854433559407
2026-06,Checks,1398,1237,161,39,0.8848354792560801,0.03152789005658852,0.023147934038079764,0.0428085909527007,27.896995708154506,22266.0,432.95,11383.579999999998,14714.530000000002,10449.469999999998,37.354166666666664,2.7906682164997614
2026-02,Checks + score,1218,964,254,11,0.7914614121510674,0.011410788381742738,0.00638331208376357,0.02031692481450573,9.0311986863711,17352.0,337.4,3295.0499999999997,8204.450000000003,13719.549999999997,54.81666666666667,5.049931581828133
2026-03,Checks + score,1358,1043,315,15,0.7680412371134021,0.014381591562799617,0.00873446939517731,0.02359286646919797,11.045655375552283,18774.0,365.04999999999995,4299.82,10334.87,14109.13,67.34583333333333,5.616602233676976
2026-04,Checks + score,1326,1019,307,11,0.7684766214177979,0.010794896957801767,0.006038183555694393,0.01922633443027724,8.295625942684767,18342.0,356.65,3209.46,9092.11,14775.89,65.64583333333333,5.606067747611865
2026-05,Checks + score,1327,1040,287,11,0.7837226827430294,0.010576923076923078,0.005916053285136564,0.01884019325648431,8.289374529012811,18720.0,364.0,3251.49,8781.490000000002,15104.509999999998,61.733333333333334,5.2371765887967845
2026-06,Checks + score,1398,1057,341,11,0.7560801144492132,0.010406811731315043,0.005820746190297805,0.018538781188719003,7.868383404864091,19026.0,369.95,3171.33,9679.280000000002,15484.719999999998,72.60416666666667,5.906011564139246
